,NAME,state,county
0,"Autauga County, Alabama",01,001
1,"Baldwin County, Alabama",01,003
2,"Barbour County, Alabama",01,005
3,"Bibb County, Alabama",01,007
4,"Blount County, Alabama",01,009
5,"Bullock County, Alabama",01,011
6,"Butler County, Alabama",01,013
7,"Calhoun County, Alabama",01,015
8,"Lewis County, Kentucky",21,135
9,"Lincoln County, Kentucky",21,137
10,"Livingston County, Kentucky",21,139
11,"Logan County, Kentucky",21,141
12,"Lyon County, Kentucky",21,143
13,"McCracken County, Kentucky",21,145
14,"McCreary County, Kentucky",21,147
15,"Madison County, Kentucky",21,151
16,"Marion County, Kentucky",21,155
17,"Marshall County, Kentucky",21,157
18,"Mason County, Kentucky",21,161
19,"Meade County, Kentucky",21,163
20,"Mercer County, Kentucky",21,167
21,"Metcalfe County, Kentucky",21,169
22,"Montgomery County, Kentucky",21,173
23,"Morgan County, Kentucky",21,175
24,"Nelson County, Kentucky",21,179
25,"Nicholas County, Kentucky",21,181
26,"Oldham County, Kentucky",21,185
27,"Owen County, Kentucky",21,187
28,"Pendleton County, Kentucky",21,191
29,"Pike County, Kentucky",21,195
30,"Powell County, Kentucky",21,197
31,"Robertson County, Kentucky",21,201
32,"Rockcastle County, Kentucky",21,203
33,"Russell County, Kentucky",21,207
34,"Scott County, Kentucky",21,209
35,"Simpson County, Kentucky",21,213
36,"Spencer County, Kentucky",21,215
37,"Todd County, Kentucky",21,219
38,"Trimble County, Kentucky",21,223
39,"Union County, Kentucky",21,225
40,"Washington County, Kentucky",21,229
41,"Wayne County, Kentucky",21,231
42,"Whitley County, Kentucky",21,235
43,"Wolfe County, Kentucky",21,237
44,"Androscoggin County, Maine",23,001
45,"Aroostook County, Maine",23,003
46,"Franklin County, Maine",23,007
47,"Hancock County, Maine",23,009
48,"Knox County, Maine",23,013
49,"Lincoln County, Maine",23,015
50,"Penobscot County, Maine",23,019
51,"Piscataquis County, Maine",23,021
52,"Somerset County, Maine",23,025
53,"Washington County, Maine",23,029
54,"York County, Maine",23,031
55,"Anoka County, Minnesota",27,003
56,"Becker County, Minnesota",27,005
57,"Beltrami County, Minnesota",27,007
58,"Benton County, Minnesota",27,009
59,"Big Stone County, Minnesota",27,011
60,"Blue Earth County, Minnesota",27,013
61,"Brown County, Minnesota",27,015
62,"Carlton County, Minnesota",27,017
63,"Carver County, Minnesota",27,019
64,"Cass County, Minnesota",27,021
65,"Chippewa County, Minnesota",27,023
66,"Chisago County, Minnesota",27,025
67,"Meigs County, Tennessee",47,121
68,"Montgomery County, Tennessee",47,125
69,"Moore County, Tennessee",47,127
70,"Obion County, Tennessee",47,131
71,"Overton County, Tennessee",47,133
72,"Pickett County, Tennessee",47,137
73,"Polk County, Tennessee",47,139
74,"Rhea County, Tennessee",47,143
75,"Roane County, Tennessee",47,145
76,"Rutherford County, Tennessee",47,149
77,"Scott County, Tennessee",47,151
78,"Sequatchie County, Tennessee",47,153
79,"Shelby County, Tennessee",47,157
80,"Smith County, Tennessee",47,159
81,"Sullivan County, Tennessee",47,163
82,"Sumner County, Tennessee",47,165
83,"Trousdale County, Tennessee",47,169
84,"Unicoi County, Tennessee",47,171
85,"Van Buren County, Tennessee",47,175
86,"Warren County, Tennessee",47,177
87,"Wayne County, Tennessee",47,181
88,"Weakley County, Tennessee",47,183
89,"Williamson County, Tennessee",47,187
90,"Wilson County, Tennessee",47,189
91,"Box Elder County, Utah",49,003
92,"Cache County, Utah",49,005
93,"Daggett County, Utah",49,009
94,"Davis County, Utah",49,011
95,"Emery County, Utah",49,015
96,"Garfield County, Utah",49,017
97,"Grand County, Utah",49,019
98,"Iron County, Utah",49,021
99,"Juab County, Utah",49,023
100,"Kane County, Utah",49,025
101,"Millard County, Utah",49,027
102,"Morgan County, Utah",49,029
103,"Piute County, Utah",49,031
104,"Rich County, Utah",49,033
105,"Salt Lake County, Utah",49,035
106,"San Juan County, Utah",49,037
107,"Sanpete County, Utah",49,039
108,"Sevier County, Utah",49,041
109,"Summit County, Utah",49,043
110,"Tooele County, Utah",49,045
111,"Uintah County, Utah",49,047
112,"Utah County, Utah",49,049
113,"Wasatch County, Utah",49,051
114,"Washington County, Utah",49,053
115,"Wayne County, Utah",49,055
116,"Weber County, Utah",49,057
117,"Bennington County, Vermont",50,003
118,"Caledonia County, Vermont",50,005
119,"Essex County, Vermont",50,009
120,"Franklin County, Vermont",50,011
121,"Lamoille County, Vermont",50,015
122,"Orange County, Vermont",50,017
123,"Rutland County, Vermont",50,021
124,"Washington County, Vermont",50,023
125,"Windsor County, Vermont",50,027
126,"Accomack County, Virginia",51,001
127,"Watonwan County, Minnesota",27,165
128,"Cass County, Missouri",29,037
129,"Christian County, Missouri",29,043
130,"Clinton County, Missouri",29,049
131,"Crawford County, Missouri",29,055
132,"Daviess County, Missouri",29,061
133,"Douglas County, Missouri",29,067
134,"Gasconade County, Missouri",29,073
135,"Grundy County, Missouri",29,079
136,"Hickory County, Missouri",29,085
137,"Howell County, Missouri",29,091
138,"Jasper County, Missouri",29,097
139,"Johnson County, Missouri",29,101
140,"Lafayette County, Missouri",29,107
141,"Lincoln County, Missouri",29,113
142,"McDonald County, Missouri",29,119
143,"Maries County, Missouri",29,125
144,"Miller County, Missouri",29,131
145,"Monroe County, Missouri",29,137
146,"New Madrid County, Missouri",29,143
147,"Oregon County, Missouri",29,149
148,"Pemiscot County, Missouri",29,155
149,"Shannon County, Missouri",29,203
150,"Stone County, Missouri",29,209
151,"Texas County, Missouri",29,215
152,"Washington County, Missouri",29,221
153,"Worth County, Missouri",29,227
154,"St. Louis city, Missouri",29,510
155,"Bay County, Florida",12,005
156,"Broward County, Florida",12,011
157,"Citrus County, Florida",12,017
158,"Columbia County, Florida",12,023
159,"Duval County, Florida",12,031
160,"Franklin County, Florida",12,037
161,"Glades County, Florida",12,043
162,"Hardee County, Florida",12,049
163,"Highlands County, Florida",12,055
164,"Indian River County, Florida",12,061
165,"Lafayette County, Florida",12,067
166,"Leon County, Florida",12,073
167,"Liberty County, Florida",12,077
168,"Marion County, Florida",12,083
169,"Monroe County, Florida",12,087
170,"Okeechobee County, Florida",12,093
171,"Arthur County, Nebraska",31,005
172,"Boone County, Nebraska",31,011
173,"Brown County, Nebraska",31,017
174,"Butler County, Nebraska",31,023
175,"Wadena County, Minnesota",27,159
176,"Chase County, Nebraska",31,029
177,"Clay County, Nebraska",31,035
178,"Cuming County, Nebraska",31,039
179,"Dawes County, Nebraska",31,045
180,"Dixon County, Nebraska",31,051
181,"Dundy County, Nebraska",31,057
182,"Frontier County, Nebraska",31,063
183,"Garden County, Nebraska",31,069
184,"Grant County, Nebraska",31,075
185,"Hamilton County, Nebraska",31,081
186,"Cherokee County, Alabama",01,019
187,"Chilton County, Alabama",01,021
188,"Choctaw County, Alabama",01,023
189,"Clarke County, Alabama",01,025
190,"Clay County, Alabama",01,027
191,"Cleburne County, Alabama",01,029
192,"Coffee County, Alabama",01,031
193,"Colbert County, Alabama",01,033
194,"Conecuh County, Alabama",01,035
195,"Coosa County, Alabama",01,037
196,"Crenshaw County, Alabama",01,041
197,"Cullman County, Alabama",01,043
198,"Dallas County, Alabama",01,047
199,"DeKalb County, Alabama",01,049
200,"Escambia County, Alabama",01,053
201,"Etowah County, Alabama",01,055
202,"Franklin County, Alabama",01,059
203,"Greene County, Alabama",01,063
204,"Hale County, Alabama",01,065
205,"Houston County, Alabama",01,069
206,"Jackson County, Alabama",01,071
207,"Lamar County, Alabama",01,075
208,"Lauderdale County, Alabama",01,077
209,"Lee County, Alabama",01,081
210,"Lowndes County, Alabama",01,085
211,"Macon County, Alabama",01,087
212,"Marengo County, Alabama",01,091
213,"Marion County, Alabama",01,093
214,"Mobile County, Alabama",01,097
215,"Monroe County, Alabama",01,099
216,"Morgan County, Alabama",01,103
217,"Pickens County, Alabama",01,107
218,"Pike County, Alabama",01,109
219,"Russell County, Alabama",01,113
220,"St. Clair County, Alabama",01,115
221,"Sumter County, Alabama",01,119
222,"Tallapoosa County, Alabama",01,123
223,"Tuscaloosa County, Alabama",01,125
224,"Washington County, Alabama",01,129
225,"Wilcox County, Alabama",01,131
226,"Alameda County, California",06,001
227,"Alpine County, California",06,003
228,"Butte County, California",06,007
229,"Colusa County, California",06,011
230,"Contra Costa County, California",06,013
231,"El Dorado County, California",06,017
232,"Fresno County, California",06,019
233,"Chambers County, Alabama",01,017
234,"Humboldt County, California",06,023
235,"Imperial County, California",06,025
236,"Kern County, California",06,029
237,"Kings County, California",06,031
238,"Lassen County, California",06,035
239,"Madera County, California",06,039
240,"Marin County, California",06,041
241,"Mariposa County, California",06,043
242,"Mendocino County, California",06,045
243,"Merced County, California",06,047
244,"Modoc County, California",06,049
245,"Clay County, Minnesota",27,027
246,"Clearwater County, Minnesota",27,029
247,"Cook County, Minnesota",27,031
248,"Cottonwood County, Minnesota",27,033
249,"Crow Wing County, Minnesota",27,035
250,"Dakota County, Minnesota",27,037
251,"Dodge County, Minnesota",27,039
252,"Douglas County, Minnesota",27,041
253,"Faribault County, Minnesota",27,043
254,"Fillmore County, Minnesota",27,045
255,"Goodhue County, Minnesota",27,049
256,"Grant County, Minnesota",27,051
257,"Houston County, Minnesota",27,055
258,"Hubbard County, Minnesota",27,057
259,"Itasca County, Minnesota",27,061
260,"Kanabec County, Minnesota",27,065
261,"Kandiyohi County, Minnesota",27,067
262,"Koochiching County, Minnesota",27,071
263,"Lac qui Parle County, Minnesota",27,073
264,"Lake of the Woods County, Minnesota",27,077
265,"Le Sueur County, Minnesota",27,079
266,"Lyon County, Minnesota",27,083
267,"McLeod County, Minnesota",27,085
268,"Marshall County, Minnesota",27,089
269,"Martin County, Minnesota",27,091
270,"Mille Lacs County, Minnesota",27,095
271,"Morrison County, Minnesota",27,097
272,"Murray County, Minnesota",27,101
273,"Nicollet County, Minnesota",27,103
274,"Norman County, Minnesota",27,107
275,"Olmsted County, Minnesota",27,109
276,"Pennington County, Minnesota",27,113
277,"Pine County, Minnesota",27,115
278,"Polk County, Minnesota",27,119
279,"Pope County, Minnesota",27,121
280,"Red Lake County, Minnesota",27,125
281,"Redwood County, Minnesota",27,127
282,"Rice County, Minnesota",27,131
283,"Rock County, Minnesota",27,133
284,"St. Louis County, Minnesota",27,137
285,"Scott County, Minnesota",27,139
286,"Sibley County, Minnesota",27,143
287,"Stearns County, Minnesota",27,145
288,"Stevens County, Minnesota",27,149
289,"Swift County, Minnesota",27,151
290,"Traverse County, Minnesota",27,155
291,"Wabasha County, Minnesota",27,157
292,"Waseca County, Minnesota",27,161
293,"Washington County, Minnesota",27,163
294,"Wilkin County, Minnesota",27,167
295,"Winona County, Minnesota",27,169
296,"Wright County, Minnesota",27,171
297,"Yellow Medicine County, Minnesota",27,173
298,"Adair County, Missouri",29,001
299,"Andrew County, Missouri",29,003
300,"Atchison County, Missouri",29,005
301,"Audrain County, Missouri",29,007
302,"Barry County, Missouri",29,009
303,"Barton County, Missouri",29,011
304,"Alleghany County, Virginia",51,005
305,"Amelia County, Virginia",51,007
306,"Appomattox County, Virginia",51,011
307,"Arlington County, Virginia",51,013
308,"Bath County, Virginia",51,017
309,"Bedford County, Virginia",51,019
310,"Botetourt County, Virginia",51,023
311,"Brunswick County, Virginia",51,025
312,"Buckingham County, Virginia",51,029
313,"Campbell County, Virginia",51,031
314,"Carroll County, Virginia",51,035
315,"Charles City County, Virginia",51,036
316,"Charlotte County, Virginia",51,037
317,"Clarke County, Virginia",51,043
318,"Craig County, Virginia",51,045
319,"Cumberland County, Virginia",51,049
320,"Dickenson County, Virginia",51,051
321,"Essex County, Virginia",51,057
322,"Fairfax County, Virginia",51,059
323,"Floyd County, Virginia",51,063
324,"Fluvanna County, Virginia",51,065
325,"Frederick County, Virginia",51,069
326,"Giles County, Virginia",51,071
327,"Goochland County, Virginia",51,075
328,"Grayson County, Virginia",51,077
329,"Greensville County, Virginia",51,081
330,"Halifax County, Virginia",51,083
331,"Henrico County, Virginia",51,087
332,"Henry County, Virginia",51,089
333,"Isle of Wight County, Virginia",51,093
334,"James City County, Virginia",51,095
335,"King and Queen County, Virginia",51,097
